filename	name	ner	type
אין צדק בעולם.txt	ג'אבר אוסמן	הלכתי הרחוב	LOC
מדינה זונה.txt	ג'אמוס	ה י	LOC
מדינה זונה.txt	ג'אמוס	שבו האשה מוצצת.....ולא!	LOC
המילים של אריק.txt	ג'ה-נוס	ארץ ישראל	LOC
ברצלונה.txt	ג'ו עמר	ברצלונה ברצלונה	LOC
ברצלונה.txt	ג'ו עמר	ברצלונה ברצלונה	LOC
ברצלונה.txt	ג'ו עמר	ברצלונה	LOC
ברצלונה.txt	ג'ו עמר	ברצלונה ברצלונה	LOC
ברצלונה.txt	ג'ו עמר	ברצלונה ברצלונה	LOC
הריני שר.txt	ג'ו עמר	אביב	LOC
ושמרו בני ישראל.txt	ג'ו עמר	שמרו בני ישראל	LOC
ושמרו בני ישראל.txt	ג'ו עמר	ישראל	LOC
ושמרו בני ישראל.txt	ג'ו עמר	שמרו בני ישראל	LOC
ושמרו בני ישראל.txt	ג'ו עמר	ישראל	LOC
ללא כוכב.txt	ג'ו עמר	נשר	LOC
שיר השיכור.txt	ג'ו עמר	עד	LOC
שיר השיכור.txt	ג'ו עמר	עד	LOC
בוסטון.txt	ג'ודי ענתבי	אל בוסטון	LOC
בתוך החדרים.txt	ג'ודי ענתבי	פרו	LOC
אחכה לך.txt	ג'וזי כץ	אדום	LOC
בובה זהבה.txt	ג'וזי כץ	אבא	LOC
בת הרב ואימה.txt	ג'וזי כץ	ישראל	LOC
בת הרב ואימה.txt	ג'וזי כץ	המצור	LOC
החייל של אתמול.txt	ג'וזי כץ	אתמול	LOC
החייל של אתמול.txt	ג'וזי כץ	רם	LOC
זמר נוגה.txt	ג'וזי כץ	לָעַד	LOC
מישהו תמיד.txt	ג'וזי כץ	תמיד	LOC
מישהו תמיד.txt	ג'וזי כץ	תמיד	LOC
תני לי להחליט.txt	ג'וזי כץ	כבר	LOC
נתאחד הללויה.txt	ג'ולי עידן לוי	י	LOC
אתה לא רומיאו.txt	ג'ולייטה	ג'ולייטה	LOC
בהאחזות הנחל בסיני.txt	ג'ולייטה	סיני	LOC
בהאחזות הנחל בסיני.txt	ג'ולייטה	סיני	LOC
בהאחזות הנחל בסיני.txt	ג'ולייטה	סיני	LOC
בהאחזות הנחל בסיני.txt	ג'ולייטה	בחוץ'	LOC
בהאחזות הנחל בסיני.txt	ג'ולייטה	סיני	LOC
בהאחזות הנחל בסיני.txt	ג'ולייטה	סיני	LOC
בהאחזות הנחל בסיני.txt	ג'ולייטה	ארץ ישראל	LOC
בהאחזות הנחל בסיני.txt	ג'ולייטה	ארץ ישראל	LOC
בהאחזות הנחל בסיני.txt	ג'ולייטה	סיני	LOC
בהאחזות הנחל בסיני.txt	ג'ולייטה	סיני	LOC
בוא בוא בוא.txt	ג'ולייטה	הרחוב	LOC
בוא בוא בוא.txt	ג'ולייטה	הגלגל	LOC
דרמה.txt	ג'ולייטה	פריז אירופה	LOC
ירושלים של זהב.txt	ג'ולייטה	ירושלים	LOC
ירושלים של זהב.txt	ג'ולייטה	ירושלים	LOC
ירושלים של זהב.txt	ג'ולייטה	הר הבית	LOC
ירושלים של זהב.txt	ג'ולייטה	יריחו	LOC
ירושלים של זהב.txt	ג'ולייטה	ירושלים	LOC
ירושלים של זהב.txt	ג'ולייטה	ירושלים	LOC
ירושלים של זהב.txt	ג'ולייטה	ירושלים	LOC
ירושלים של זהב.txt	ג'ולייטה	קורא הר הבית	LOC
ירושלים של זהב.txt	ג'ולייטה	יריחו	LOC
ירושלים של זהב.txt	ג'ולייטה	ירושלים	LOC
לא יודע כלום על אהבה.txt	ג'ולייטה	ארגנטינה	LOC
לא יודע כלום על אהבה.txt	ג'ולייטה	ארגנטינה	LOC
מלכה גדולה.txt	ג'ולייטה	זוהר	LOC
נכנעת לאהבתך.txt	ג'ולייטה	שבת	LOC
רק שיהיה ברור.txt	ג'ון סטון	עם	LOC
רק שיהיה ברור.txt	ג'ון סטון	לעשות לייק	LOC
הבלון שלה.txt	ג'וני	לשעבר	LOC
זוג יונים.txt	ג'וני שועלי	פראג	LOC
כבר החורף.txt	ג'וני שועלי	שוב	LOC
ערבית.txt	ג'וני שועלי	דינרי	LOC
צעיר חופשי ואנוכי.txt	ג'וני שועלי	ת'מטלות	LOC
נשקיני.txt	ג'ורג' בר	אמציני	LOC
נשקיני.txt	ג'ורג' בר	גן - עדן פתחי	LOC
תגידי שלי.txt	ג'ורג' בר	פריס	LOC
תגידי שלי.txt	ג'ורג' בר	ניו יורק	LOC
אני חדש בארץ.txt	ג'טה לוקה	ארץזאת	LOC
ירושלים של זהב.txt	ג'ימי לויד	ירושלים	LOC
ירושלים של זהב.txt	ג'ימי לויד	ירושלים	LOC
ירושלים של זהב.txt	ג'ימי לויד	הר הבית	LOC
ירושלים של זהב.txt	ג'ימי לויד	יריחו	LOC
ירושלים של זהב.txt	ג'ימי לויד	ירושלים	LOC
ירושלים של זהב.txt	ג'ימי לויד	ירושלים	LOC
ירושלים של זהב.txt	ג'ימי לויד	ירושלים	LOC
ירושלים של זהב.txt	ג'ימי לויד	קורא הר הבית	LOC
ירושלים של זהב.txt	ג'ימי לויד	יריחו	LOC
ירושלים של זהב.txt	ג'ימי לויד	ירושלים	LOC
אלנבי שבעים ותשע.txt	ג'ינג'יות	נכנס בניין	LOC
מלפפונים.txt	ג'ינג'יות	תקוע	LOC
ג'ינה.txt	ג'ינה סנאפ	ה	LOC
ג'ינה.txt	ג'ינה סנאפ	רחוב	LOC
אין כניסה לפילים.txt	ג'ירפות	הודו	LOC
אין כניסה לפילים.txt	ג'ירפות	כרכור	LOC
ויכוח.txt	ג'ירפות	אללה	LOC
ויכוח.txt	ג'ירפות	אללה	LOC
זזה.txt	ג'ירפות	קדימה	LOC
זזה.txt	ג'ירפות	אחורה	LOC
חופשה בהוואי.txt	ג'ירפות	בהוואי	LOC
חופשה בהוואי.txt	ג'ירפות	בהוואי	LOC
ירדה בו בול בו במועד.txt	ג'ירפות	הוד	LOC
ירדה בו בול בו במועד.txt	ג'ירפות	עד	LOC
רמי מואשם באחזקת סמים קלים.txt	ג'ירפות	.	LOC
רמי מואשם באחזקת סמים קלים.txt	ג'ירפות	סיני	LOC
רמי מואשם באחזקת סמים קלים.txt	ג'ירפות	י	LOC
רמי מואשם באחזקת סמים קלים.txt	ג'ירפות	י	LOC
רמי מואשם באחזקת סמים קלים.txt	ג'ירפות	במבה	LOC
שבע ארבע שבע.txt	ג'ירפות	ארגנטינה	LOC
שיטין.txt	ג'ירפות	בוהמיה	LOC
שיטין.txt	ג'ירפות	לראות מושב ה	LOC
שיטין.txt	ג'ירפות	בוהמיה	LOC
מאה שקל אחרונים.txt	ג'נגו	הרצליה	LOC
צועקים ברחוב.txt	ג'נגו	צועקים הרחוב	LOC
שיר דרך.txt	ג'נגו	, כפר ערבי	LOC
שחקו נא טף שלי.txt	ג'ני לוביץ'	אל	LOC
גשם.txt	ג'קו אייזנברג	כביש אספלט	LOC
השרב נשבר.txt	ג'קו אייזנברג	עדן	LOC
נרדם על החולות.txt	ג'קו אייזנברג	קדימה	LOC
צורח.txt	ג'קו אייזנברג	בלבד	LOC
צורח.txt	ג'קו אייזנברג	כיוון	LOC
צורח.txt	ג'קו אייזנברג	כיוון	LOC
קסם.txt	ג'קו אייזנברג	כמעט	LOC
שר שר.txt	ג'קו אייזנברג	מכאן	LOC
תזרוק את הכל.txt	ג'קו אייזנברג	אחת שאול	LOC
מהשמיים.txt	ג'קי אליהו	מכה	LOC
שיר המנון למכבי תל אביב.txt	ג'קי אלקיים	אירופה	LOC
יושב בבר בסלוניקי.txt	ג'קי ברזל	יושב	LOC
יושב בבר בסלוניקי.txt	ג'קי ברזל	סלוניקי	LOC
יושב בבר בסלוניקי.txt	ג'קי ברזל	יושב	LOC
יושב בבר בסלוניקי.txt	ג'קי ברזל	סלוניקי	LOC
אנ'לא יודע למה.txt	ג'קי טולדו	מוצא	LOC
פרידה.txt	ג'קי טולדו	לב	LOC
אני אוהב אותך ביתר.txt	ג'קי מייקה	הר	LOC
גלדיולה.txt	ג'קי מייקה	הים	LOC
גלדיולה.txt	ג'קי מייקה	, מכה	LOC
גלדיולה.txt	ג'קי מייקה	שוב	LOC
ירושלים של זהב.txt	ג'קי מייקה	ירושלים	LOC
ירושלים של זהב.txt	ג'קי מייקה	ירושלים	LOC
ירושלים של זהב.txt	ג'קי מייקה	הר הבית	LOC
ירושלים של זהב.txt	ג'קי מייקה	יריחו	LOC
ירושלים של זהב.txt	ג'קי מייקה	ירושלים	LOC
ירושלים של זהב.txt	ג'קי מייקה	ירושלים	LOC
ירושלים של זהב.txt	ג'קי מייקה	ירושלים	LOC
ירושלים של זהב.txt	ג'קי מייקה	קורא הר הבית	LOC
ירושלים של זהב.txt	ג'קי מייקה	יריחו	LOC
ירושלים של זהב.txt	ג'קי מייקה	ירושלים	LOC
לעוף איתך.txt	ג'קי מייקה	עד	LOC
שושנת פלאים.txt	ג'קי מייקה	חיש	LOC
אל תבכה נערי.txt	ג'קי מקייטן	יותר	LOC
את לי לילה.txt	ג'קי מקייטן	עם מיתר	LOC
חוששת מגברים.txt	ג'קי מקייטן	עין	LOC
חוששת מגברים.txt	ג'קי מקייטן	הרחוב	LOC
ככה סתם.txt	ג'קי מקייטן	רחוב יושב אחד	LOC
אם זה בספטמבר.txt	גאולה גיל	בחשאי	LOC
אם זה בספטמבר.txt	גאולה גיל	בלבד	LOC
אם זה בספטמבר.txt	גאולה גיל	עובר הרחוב	LOC
אתי מלבנון.txt	גאולה גיל	לבנון	LOC
אתי מלבנון.txt	גאולה גיל	ירושלים	LOC
בערבות הנגב.txt	גאולה גיל	הנגב	LOC
בערבות הנגב.txt	גאולה גיל	הנגב	LOC
בערבות הנגב.txt	גאולה גיל	הנגב	LOC
בשערייך ירושלים.txt	גאולה גיל	ירושלים	LOC
בשערייך ירושלים.txt	גאולה גיל	ירושלים	LOC
בשערייך ירושלים.txt	גאולה גיל	הר הבית	LOC
בשערייך ירושלים.txt	גאולה גיל	ירושלים	LOC
הגבעות הכחולות.txt	גאולה גיל	יידלק הכוכב יאיר	LOC
הגבעות הכחולות.txt	גאולה גיל	מני	LOC
הוא היה.txt	גאולה גיל	עכשיו	LOC
הוא היה.txt	גאולה גיל	עכשיו	LOC
הכותל.txt	גאולה גיל	הר הבית	LOC
הכותל.txt	גאולה גיל	הר הזיתים	LOC
הכותל.txt	גאולה גיל	לטמון	LOC
הלכנו.txt	גאולה גיל	ג'נין	LOC
הלכנו.txt	גאולה גיל	כביש אבו	LOC
הלכנו.txt	גאולה גיל	הר גריזים	LOC
הלכנו.txt	גאולה גיל	חזרנו עפולה	LOC
יא ירח.txt	גאולה גיל	מישפחה	LOC
ירושלים של זהב.txt	גאולה גיל	ירושלים	LOC
ירושלים של זהב.txt	גאולה גיל	ירושלים	LOC
ירושלים של זהב.txt	גאולה גיל	הר הבית	LOC
ירושלים של זהב.txt	גאולה גיל	יריחו	LOC
ירושלים של זהב.txt	גאולה גיל	ירושלים	LOC
ירושלים של זהב.txt	גאולה גיל	ירושלים	LOC
ירושלים של זהב.txt	גאולה גיל	ירושלים	LOC
ירושלים של זהב.txt	גאולה גיל	קורא הר הבית	LOC
ירושלים של זהב.txt	גאולה גיל	יריחו	LOC
ירושלים של זהב.txt	גאולה גיל	ירושלים	LOC
כל הכבוד לצה''ל.txt	גאולה גיל	סיני	LOC
לא רוצה מכתבים.txt	גאולה גיל	חגור	LOC
למנצח שיר מזמור.txt	גאולה גיל	ישראל	LOC
למנצח שיר מזמור.txt	גאולה גיל	ישראל	LOC
לשיר ילדה לשיר.txt	גאולה גיל	אמש	LOC
נערה ושמה כנרת.txt	גאולה גיל	הירדן	LOC
נערה ושמה כנרת.txt	גאולה גיל	ירדן	LOC
נערה ושמה כנרת.txt	גאולה גיל	כנרת	LOC
נערה ושמה כנרת.txt	גאולה גיל	כנרת	LOC
נערה ושמה כנרת.txt	גאולה גיל	כנרת	LOC
נערה ושמה כנרת.txt	גאולה גיל	ההר	LOC
נערה ושמה כנרת.txt	גאולה גיל	ירדן	LOC
נערה ושמה כנרת.txt	גאולה גיל	ירדן	LOC
נערה ושמה כנרת.txt	גאולה גיל	ירדן	LOC
נערה ושמה כנרת.txt	גאולה גיל	כנרת	LOC
נערה ושמה כנרת.txt	גאולה גיל	כנרת	LOC
נערה ושמה כנרת.txt	גאולה גיל	כנרת	LOC
נערה ושמה כנרת.txt	גאולה גיל	ההר	LOC
שיר הבוקרים.txt	גאולה גיל	נתיבות	LOC
שם בכביש דימונה.txt	גאולה גיל	סדום	LOC
שם בכביש דימונה.txt	גאולה גיל	כביש דימונה	LOC
שם בכביש דימונה.txt	גאולה גיל	סדום	LOC
שם בכביש דימונה.txt	גאולה גיל	סדום	LOC
שם בכביש דימונה.txt	גאולה גיל	דימונה	LOC
שמונה בעקבות אחד.txt	גאולה גיל	קדימה	LOC
שמונה בעקבות אחד.txt	גאולה גיל	בומס	LOC
שמונה בעקבות אחד.txt	גאולה גיל	בומס	LOC
שמונה בעקבות אחד.txt	גאולה גיל	בומס	LOC
שמונה בעקבות אחד.txt	גאולה גיל	נפרוץ	LOC
אמא שלחתני.txt	גאולה נוני	בוכרי	LOC
כתונת פסים.txt	גאולה נוני	עין	LOC
כתונת פסים.txt	גאולה נוני	פילאו	LOC
כתונת פסים.txt	גאולה נוני	כילאו	LOC
באר בשדה.txt	גאיה	יעטרוה	LOC
דבקה רפיח.txt	גאיה	עד	LOC
הטוב שבטוב.txt	גאיה	נשר	LOC
הטוב שבטוב.txt	גאיה	שכם	LOC
חגיגאיה.txt	גאיה	תקוה	LOC
חגיגאיה.txt	גאיה	תקוה	LOC
יה מולנה.txt	גאיה	יא	LOC
יה מולנה.txt	גאיה	יה	LOC
יה מולנה.txt	גאיה	יה	LOC
יה מולנה.txt	גאיה	יה	LOC
יה מולנה.txt	גאיה	יה	LOC
יה מולנה.txt	גאיה	יא	LOC
מה אומרות עינייך.txt	גאיה	עד	LOC
מה אומרות עינייך.txt	גאיה	עד	LOC
רועה ורועה.txt	גאיה	הבקעה	LOC
שני שושנים.txt	גאיה	אדום	LOC
שני שושנים.txt	גאיה	האדום	LOC
שני שושנים.txt	גאיה	האדום	LOC
שני שושנים.txt	גאיה	אדום	LOC
אליפלט.txt	גאיה ממן	- אליפלט	LOC
אליפלט.txt	גאיה ממן	מדוע	LOC
אליפלט.txt	גאיה ממן	בלי	LOC
אליפלט.txt	גאיה ממן	כיוון	LOC
אליפלט.txt	גאיה ממן	מדוע	LOC
אליפלט.txt	גאיה ממן	בלי	LOC
היו לילות.txt	גאיה ממן	כינרת	LOC
היו לילות.txt	גאיה ממן	כינרת	LOC
אגדה.txt	גבי ברלין	כינרת	LOC
אגדה.txt	גבי ברלין	תפארת	LOC
אוהבי הטבע.txt	גבי ברלין	ראשון ציון	LOC
אוהבי הטבע.txt	גבי ברלין	הר	LOC
אוהבי הטבע.txt	גבי ברלין	ראשון ציון	LOC
אין כמו יפו בלילות.txt	גבי ברלין	יפו	LOC
אין כמו יפו בלילות.txt	גבי ברלין	יפו	LOC
אין כמו יפו בלילות.txt	גבי ברלין	יפו	LOC
אין כמו יפו בלילות.txt	גבי ברלין	יפו	LOC
אין כמו יפו בלילות.txt	גבי ברלין	יפו	LOC
אין כמו יפו בלילות.txt	גבי ברלין	יפו	LOC
אנו כיתת סיירים.txt	גבי ברלין	כפים	LOC
אנחנו לא שכחנו.txt	גבי ברלין	ירושלים	LOC
אנחנו לא שכחנו.txt	גבי ברלין	ירושלים	LOC
ברך עלינו.txt	גבי ברלין	ברכה	LOC
בת שבע.txt	גבי ברלין	ברד	LOC
בת שבע.txt	גבי ברלין	עד באר	LOC
בת שישים.txt	גבי ברלין	אדום	LOC
בת שישים.txt	גבי ברלין	אדום	LOC
דבקה רפיח.txt	גבי ברלין	עד	LOC
דרך הכורכר.txt	גבי ברלין	הכפר שורק	LOC
האניות עגנו במלטה.txt	גבי ברלין	מלטה	LOC
הורה חדרה.txt	גבי ברלין	חדרה	LOC
הורה חדרה.txt	גבי ברלין	חדרה	LOC
הורה חדרה.txt	גבי ברלין	חדרה	LOC
הורה ממטרה.txt	גבי ברלין	הנגב	LOC
הורה ממטרה.txt	גבי ברלין	הניר	LOC
היי דרומה.txt	גבי ברלין	באר שבע	LOC
היי דרומה.txt	גבי ברלין	אילת	LOC
היי דרומה.txt	גבי ברלין	דרומה	LOC
היי דרומה.txt	גבי ברלין	דרומה	LOC
היי דרומה.txt	גבי ברלין	אילת	LOC
היי דרומה.txt	גבי ברלין	דרומה	LOC
היי דרומה.txt	גבי ברלין	דרומה	LOC
היי דרומה.txt	גבי ברלין	דרומה	LOC
היי דרומה.txt	גבי ברלין	דרומה	LOC
חג יובל.txt	גבי ברלין	יזרעאל	LOC
חג יובל.txt	גבי ברלין	הכינרת	LOC
חג יובל.txt	גבי ברלין	הירדן	LOC
חג יובל.txt	גבי ברלין	מרקדת השפלה ירושלים שיר	LOC
חג יובל.txt	גבי ברלין	ארץ ישראל	LOC
חג יובל.txt	גבי ברלין	ארץ ישראל	LOC
חג יובל.txt	גבי ברלין	רון השרון	LOC
חג יובל.txt	גבי ברלין	השומרון יריחו רימון	LOC
חג יובל.txt	גבי ברלין	הנגב	LOC
חג יובל.txt	גבי ברלין	קיבוץ אלפי גוון מושב צבעי מכחול	LOC
ירח אדום.txt	גבי ברלין	אדום	LOC
ליל בא.txt	גבי ברלין	זקן	LOC
לילה ראשון בלי אמא.txt	גבי ברלין	ההא	LOC
מי יבנה בית.txt	גבי ברלין	יבנה	LOC
מי יבנה בית.txt	גבי ברלין	תל אביב	LOC
מי יבנה בית.txt	גבי ברלין	יבנה	LOC
מי יבנה בית.txt	גבי ברלין	תל אביב	LOC
מי יבנה בית.txt	גבי ברלין	תל אביב הבו	LOC
מי יבנה בית.txt	גבי ברלין	תל אביב	LOC
ניגון עתיק.txt	גבי ברלין	שכם	LOC
ניגון עתיק.txt	גבי ברלין	לחם	LOC
סרנדה לך.txt	גבי ברלין	שלושה	LOC
סרנדה לך.txt	גבי ברלין	סרנדה	LOC
סרנדה לך.txt	גבי ברלין	נשר	LOC
סרנדה לך.txt	גבי ברלין	עד	LOC
סרנדה לך.txt	גבי ברלין	שלושה	LOC
סרנדה לך.txt	גבי ברלין	סרנדה	LOC
ערב בא.txt	גבי ברלין	גנים	LOC
ערב בא.txt	גבי ברלין	בלאט	LOC
רינה.txt	גבי ברלין	מאז	LOC
רינה.txt	גבי ברלין	רינה	LOC
רינה.txt	גבי ברלין	רינה	LOC
שיר לאלמונית.txt	גבי ברלין	סין	LOC
שיר על עץ.txt	גבי ברלין	הערבה	LOC
שיר על עץ.txt	גבי ברלין	הנגב	LOC
שיר על עץ.txt	גבי ברלין	הערבה	LOC
שיר על עץ.txt	גבי ברלין	אל	LOC
שיר על עץ.txt	גבי ברלין	הערבה	LOC
שירת הנוער.txt	גבי ברלין	יקום	LOC
את יפה.txt	גבי פרחי	ליבי	LOC
תפילת גשם.txt	גבי שדה	ירושלים	LOC
אמון מלא.txt	גבי שושן	כבר	LOC
בהירים מחיוורון.txt	גבי שושן	הים	LOC
בראשית.txt	גבי שושן	לילה	LOC
בראשית.txt	גבי שושן	הארץ	LOC
בראשית.txt	גבי שושן	שי	LOC
גברת שוש.txt	גבי שושן	כן	LOC
זיכרונות.txt	גבי שושן	תל אביב	LOC
זיכרונות.txt	גבי שושן	הרחוב ניחוחות המרכולים	LOC
יונה עייפה.txt	גבי שושן	ורועפת	LOC
לא יכול בלי.txt	גבי שושן	צרפת	LOC
להשתטות לפעמים.txt	גבי שושן	אפריקה	LOC
להשתטות לפעמים.txt	גבי שושן	הרצליה	LOC
עוקץ ומחט.txt	גבי שושן	פתאום	LOC
על המזח.txt	גבי שושן	צפת	LOC
על המזח.txt	גבי שושן	יפן	LOC
קו חמש.txt	גבי שושן	תל אביב	LOC
שובי אלי.txt	גבי שושן	עד דחי	LOC
שובי אלי.txt	גבי שושן	עלי	LOC
שובי אלי.txt	גבי שושן	עלי	LOC
המדינה שלנו.txt	גבי שטרית	אחד כפר שמריהו	LOC
לרקוד.txt	גבי תמיר	קרים	LOC
האור בחשיכה.txt	גבע אלון	כרמל	LOC
האור בחשיכה.txt	גבע אלון	אלונים	LOC
האור בחשיכה.txt	גבע אלון	אלונים	LOC
האור בחשיכה.txt	גבע אלון	אלונים	LOC
אם אלוהים היה רוצה.txt	גברי בנאי	חלב	LOC
אם אלוהים היה רוצה.txt	גברי בנאי	נחל שורק	LOC
בין זכרון יוסף לשכונת הפחים.txt	גברי בנאי	אמריקה	LOC
בין זכרון יוסף לשכונת הפחים.txt	גברי בנאי	הודו	LOC
בין זכרון יוסף לשכונת הפחים.txt	גברי בנאי	שוויץ	LOC
בין זכרון יוסף לשכונת הפחים.txt	גברי בנאי	אמסטרדם	LOC
בין זכרון יוסף לשכונת הפחים.txt	גברי בנאי	י ברזיל	LOC
בין זכרון יוסף לשכונת הפחים.txt	גברי בנאי	שכונת הפחים	LOC
בין זכרון יוסף לשכונת הפחים.txt	גברי בנאי	סין	LOC
בין זכרון יוסף לשכונת הפחים.txt	גברי בנאי	ניו - יורק	LOC
בין זכרון יוסף לשכונת הפחים.txt	גברי בנאי	איטליה	LOC
בין זכרון יוסף לשכונת הפחים.txt	גברי בנאי	עם ונציה	LOC
